Urdu,Roman
واپڈا,wapda
کب,kb
ضمیر,zameerkon
سہا,sahara
ہمدرد,humdard
مارري,marry
نظارے,nazarechopal
روبرو,rubaro
آسودگی,aasoodgi
گنے,gine
اداس,udas
بو,boy
تاکہ,ta
ناواقف,nawaqif
ھاتھ,hath
راس,ras
ريميمبير,remember
دادی,dadi
کومپلٹ,complete
غیروں,ghairon
نکلے,nikle
مرسی,mercy7halka
ہاتے,hate
پٹھانوں,pathano
١٠,10
کفایت,kafiyat
ہی,hi
چوزہ,choza
لیڈی,ledy
ملیں,milenge
چاہتے,chahte
رہتا,rehta
ریکوسٹ,request
ميمون,memon
گرین,green
آرہی,a
فور,for
محمّد,m
سی,c
نو,no
آپس,aps
کیو,q
جناب,janab
ٹھہرو,thehro
علان,ilaan
ذی,zy
جینی,jenai
وعدہ,wada
ردا,rida
اٹھا,utha
وسلام,wasalam
حجرے,hujre
چاند,chand
ستوں,ston
بے,be
فري,free
طرار,traz
صرف,sirf
دھونی,dhoni
ببلی,bubli
چارم,charming
۱۹۹۹,1999
کہن,khan
آنچ,aanch
حسب,hasb
گريف,grief
کھیلی,kheli
ریشم,resham
بہادر,bahadur
ذيل,zeal
تاڑ,taar
سومرا,somra
کينٹري,country
عادت,aadat
اپن,apun
تھرٹي,thirty
١٤,14
فارغ,farag
پیس,peace
ٹریٹ,treat
سینگ,seng
سلینتھ,silent
شروع,shuru
لونگی,loun
ونڈو,window
شھد,shahd
ربیکا,rabica
وہیلر,whealr
کوپی,copy
٧,7
انڈیا,india
ویل,wel
دفع,dafa
قبولیت,qaboliat
وادي,wadi
راحت,rahat
تبدیل,tabdeel
رپورٹ,report
سونا,suna
امانت,amanat
حدیثِ,hadees
مزاحیہ,mzahya
شون,shown
سینے,sene
شریف,shareef
عدنان,adnan
تمھاری,tmhari
زیل,zeal
شي,she
پریشانی,pryshani
انو,suno
شادابی,shadabitumhein
مینے,mene
بڑی,bari
کپڑے,kapre
ہما,huma
دونٹ,dont
ر,r
شادی,shadi
چوریاں,choriyan
سٹانڈ,stand
انیس,anis
سالی,sali
ٹوٹا,tota
30,30
ساما,saima
دوزخی,dozkhi
حوٹ,hot
عباس,abass
لیتے,letay
سونیا,sonia
جتنے,jitne
بجھا,bujha
فاحيم,faheem
گانا,gana
روتا,rota
فریب,fareb
بتایا,btaya
آس,aas
سٹين,stain
گرلس,girls
اسکا,uska
فرض,farz
منٹ,mint
طاہر,tahir
انجيسٹس,injustice
نفرتوں,nafratonka
گیٹ,getsensiblehi
آیا,aya
مہندی,mehndi
پہنچ,pohanch
رهی,rhi
ميرے,mere
فاملي,family
جے,j
نیچے,nechy
بوڑھی,borhi
منيٹي,minute
بین,behn
گہری,gehri
بال,bal
دانت,dant
جہاز,jahaz
سنسیر,sincere
کرٹين,curtain
دونوں,dono
سمجھایا,samjhaya
هے,hai
شہرت,shuhrat
باغ,baagh
مات,maat
جوي,joy
دیکھتے,dekhte
بجانا,bjana
آبی,aabi
افغانستان,afghanistan
ہونا,hona
پسی,pseibbpu
بیہودہ,behoda
والسلام,w
گوم,gum
نان,nan
کھا,kha
عمل,amal
کھڑا,khara
آں,aan
ازاں,azaan
جذب,jazb
اٹھتے,uthte
ٹانگیں,tangy
پھولوں,phoolon
ویسے,wese
پڑھاتا,parhata
بورن,born2love
کڑیاں,kuriyan
پاکستانی,pakistani
جتنا,jitna
پوانٹ,point
لال,laal
ستاروں,sitaron
بدنصیب,badnasib
تھنگ,thing
سرکار,sarkar
حفاظت,hifazat
خو,khu
برابر,barabar
پينچ,punch
مانند,maanind
ڈرنا,drna
خیالوں,khayalon
شو,shoo
کروٹ,krwat
مانگا,manga
کشش,kashish
راب,rab
کري,cry
بوبی,boby786
ہنی,honey
بنک,bunk
برو,bro
حيرڈ,heard
اسم,asim
پرانا,purana
سييڈ,syed
ریپلاے,reply
حو,ho
گجرات,gujraat
شدید,shadeed
جاتا,jata
سکتی,sakti
بیا,bia
ذکر,zikr
ح,happy
انکنون,unknown
اظہار,izhaar
جاننا,jan'na
جانے,jane
وار,waar
موہ,mo
نیٹورک,network
بھیجا,bheja
لؤڈ,load
بیٹا,beta
کہانی,kahani
تمہارے,tumhary
سیند,send
آنی,ani
موجود,mojood
آونگا,aa'oonga
یکی,yaki
چا,cha
سہارا,sahara
ہرٹ,hurt
نعش,nasha
ادھورے,adhore
پاتی,pati
پهر,phr
دھمال,dhammal
نها,naha
بابر,baber
ستاس,stas
آدھی,adhi
کرنا,krna
چلا,chala
شباب,shabab
دوزخ,dozakh
کاندهار,kandhar
ہیروز,heroz
غار,ghar
بولنے,bolne
مارنے,marne
فنڈ,find
کالا,kala
حالات,halaat
لیتی,leti
وکٹوں,wicto
خلوص,khaloos
شارق,shariq
روکی,roki
آجاتا,ajata
سان,saani
غور,ghour
محبوب,maheboob
بیچتا,bechta
لڑکی,larki
بیٹھے,bethe
سیکھ,seekh
سخی,sakhi
دھوپ,dhoop
وکیل,wakeel
اقرار,iqraar
مورخہ,morkha
پرندے,parinde
دیکھوں,dekhun
دیرا,dera
تمکو,tumko
بروتھر,brother
دکھا,dikha
نقصان,nuqsan
عزاب,azab
گزرا,guzra
اڑتے,6urte
لگاو,lagao
پیو,pio
زنگو,zingoo
با,ba
گھوڑا,ghora
باطل,batil
مٹھا,mutha
روح,rooh
اشتہار,ishthr
بننا,banna
پڑھی,parhi
ڈرٹی,durtyguy345
را,raat
ٹھوکر,thokar
ہزار,hazar
نالی,naali
یہیں,yhi
حبیب,habibjaan
جوف,jauf
ظاہر,zahir
ہیلتھ,health1
رسم,rasm
تين,teen
واٹ,wat
دھم,dhammal
سٹارز,starz
گرمیوں,garmiyon
بات,bat
پیاسا,pyasa
تفری,tafre
چاہتی,chahti
موہر,mohar
چاہوگے,chahoge
ماتم,matam
حي,he
مونڈے,monday
سہی,sahi
سکھا,sikha
فہیم,fahim
صفدر,safdr
سلطان,sultan
عارضی,aarzi
سورج,suraj
گیت,geet
سودا,soda
وضاحتیں,wazahteinkesi
انٹری,entery
مونا,muna
کھاکر,khakar
رول,rule
اہم,ahem
چنو,chuno
دیو,daiyo
تارے,tare
اڑ,urr
دورہ,dora
چلیں,chlen
پاسٹ,past
انے,aane
جيلي,july
مہنگائی,mehngai
مخالفت,mukhalfat
کرکيٹ,cricket
ینجوے,enjoy
ريپورٹ,report
پشت,pusht
گنتی,ginty
اردو,urdu
تھن,thin
طالب,talib
ھوگا,hoga
کراچی,karachi
فاروق,farooq
مولا,mola
وین,whenevr
پرنٹ,print
خلاد,khiladi
کرو,kro
چوک,chocklate
نقش,naqsh
گولیاں,goliyan
فورس,force
انگ,ang
حمو,humor
اسلی,isly
فرق,farq
سب,sb
آفٹر,aftr
ييل,yell
يٹس,etc
سول,soulzy
نرم,narm
گاوں,gaaon
نکلنا,nklne
تیاری,tayari
ہاہا,hahahahahaha
مورنگ,morning
بزم,bazm
اپپيرانس,appearance
گالی,gali
گوسٹ,ghost
جدو,jado
ٹانگوں,tango
کیا,kya
ڈھلی,dhali
امام,imam
جنهوں,jinho
ارین,aryan
وہی,wohi
فيرنٹير,furniture
ونلي,only
آب,ab
پرسونل,personal
نگاہیں,nigahein
سمیٹ,samait
اٹھے,uthe
گلیوں,galyon
کہی,kahi
ملنا,milna
کهانا,khana
سہیلی,sahilli
بھی,b
گرانڈ,grand
براڈکاسٹ,broadcast
نگاہ,nigah
الان,elan
کہا,kaha
غير,ghair
حوالے,hawale
سوتے,soty
توڑنے,torny
فيسال,faisal
هيں,hain
شانہ,shana
خیال,khayal
سکون,sukun
کامیاب,kaamyab
نٹ,nt
چوری,chori
تیل,tel
احسان,ehsan
بوکس,books4
فلور,floor
ملاتے,milatay
ہوش,hushe
دیکھنے,dekhny
ارضی,arzi
جون,jaaun
بوجھل,bojhal
غلام,gulam
کنارا,kinara
لاس,laso
خادم,khadim
پیا,pia
باز,baaz
فضا,fiza
لامپ,lamp
اتنا,itna
جھوٹے,jhote
الوايز,always
موٹر,motor
کشمیر,kashmir
برداشت,bardasht
سچح,such
جستجو,justaju
چاول,chawal
بورنگ,borng
آزاد,azad
حورسي,horse
ناک,naak
بھاگ,bhag
٤٢,42
حقیقت,haqeeqat
مروا,marwa
ادھ,adhi
انگور,angoor
رانی,rani
6,6
ڈففيرينٹ,different
بناتی,bnati
امیر,ameer
ڈیو,dew
عکس,aks
نادان,nadan
پیتے,peety
بازار,bazar
ڈیڈ,deadmen
چراغوں,charaghoon
داستان,dastan
صحیح,sahi
پیاسے,piyase
چڑھ,charh
پروفسثور,professor
گزاری,guzari
جمی,jmi
ڈيپ,deep
مارا,mara
تیر,teer
پک,pk
جنون,junoon
مبارک,mubarik
ناشتے,nashta
گزرنا,guzrna
دیا,dia
جنکی,jinki
کرتاتھا,krta
واجد,wajid
گمنام,gumnam
نا,na
فورا,fauran
غیر,ghair
درست,drust
قبرستان,qabristan
لاہوری,lahoriye
چاشنی,chashni
ہیںک,he
ناظم,nazim
لگو,lago
حوٹيل,hotel
الزام,ilzaam
دینی,deni
سرگوشیاں,sargoshiyanteri
قابل,qabil
کہاوت,kahawat
گزار,guzar
کاروبار,karobar
واں,wan
محفلوں,mehfilon
ہے,hai
گوبھی,gobhi
کاٹتے,kat'te
کؤ,ko
پروفائل,profile
زرا,zara
۹,9
کیہں,q
امان,eman
شورو,shuru
ڈرو,daro
سلامت,salamat
سمیع,sami
نیٹ,net
پروا,parwa
انھیں,unhain
پھول,phool
نظروں,nzaron
دہشت,dehshat
ناراضگی,narazgi
پھیپھڑوں,phephron
سارے,sare
پڑوسی,parosi
سبھی,sabhi
بيٹ,beat
استقبال,istiqbal
خیر,khair
واقع,waqi
بولتی,bolti
مارچ,march
کھائی,khe
کنو,know
وضو,wazu
کافي,kafee
یوں,yun
اختر,akhtar
اچانک,achank
ڈيتھ,death
جمہوریت,jamhuriyat
ميٹ,meet
سمپل,semple
آیت,aayat
آپکی,apki
مرغا,murgha
اسنے,usne
وا,wa
چیا,cheyia
امت,umat
سوغات,soghat
رج,rj
هیل,hell
غموں,ghamon
ڈوبتے,doobte
کو,ko
رکھ,rakh
آم,aam
ہاشمی,hashmi
سید,syd
بانٹ,bant
پہچانتا,pehchanta
دھول,dhool
يوار,your
رات,raat
نیند,neend
جانياري,january
ضروریات,zaroriat
تقاضوں,taqazoon
ذیشان,zeshan
پاتھ,path
شپ,shap
ميحامميڈ,muhammed
آتا,ata
رضا,raza
ھوں,hon
٦,6
ایسی,aisi
سینما,cinema
اصغر,asghar
انتہا,inteha
کہیں,kahin
منیب,munibe
دولت,dolat
رم,rm
گزرتی,guzarti
نایاب,nayab
بول,bol
رومی,romi
ستان,satana
رشک,rashk
چاہیے,chahiye
پاؤں,paon
احمر,ahmar
فرد,frd
دھوتے,dhote
فرہاد,farhad0786
پیسوں,paiso
پیچھے,peche
کاشف,kashif
خلیفہ,khalifa
حارس,haris
ثوبیہ,sobia
انتقال,inteqal
پڑا,para
اباد,aabad
شرمیلا,shrmila
بیچاری,bechari
منع,mana
وهاں,wahan
پے,pe
صاف,saaf
محدود,mehdood
سلمان,salman
اف,uff
احباب,ehbaab
رومو,rom0
زی,z
جيسٹ,just
تماشا,tamasha
زویہ,zoya
بیبی,bibi
لاگو,lagao
پنک,punkxx
مجید,majeed
ریو,riohfz
ہاے,hi
انلاوفيل,unlawful
گاز,gaze
جوانی,jawani
سوال,sawal
نکالی,nikali
راه,rah
لباس,libas
ڈريکٹ,direct
معصوم,masoom
اشيس,ashes
کہتا,kehta
کردیں,karden
انڈین,indians
نجومی,najumi
اپارٹ,apart
یہاں,yahan
انفڈيل,infidel
بیچینی,bechaini
ہنستا,hansta
دکھی,dakhi
لیا,lia
رھے,rahe
ميرا,mera
گھوڑ,ghor
شرط,shrt
اطلاع,itla
صفحوں,safhon
ہلاک,halak
متا,mata
آوں,aaon
چوس,choos
شامل,shamil
گے,gay
دوڑ,dor
اعتبار,aitbaar
ویت,sweetpari22
جاتی,jati
کترینا,katrina
سوچتا,sochta
لایف,life
ستاتی,stati
موتھ,mother
ہائے,hi
حيللو,hello
جاونگا,jaaongajo
ہارا,haara
احسن,ahsan
پوری,puri
بتاتا,btata
حرف,hurf
مسافر,musafir
دنو,dino
لکھتا,likhta
جھک,jhuk
سند,send
لازم,lazim
کھایا,khaya
گولی,goli
بازی,bazi
نی,nai
ٹھہرا,thehra
ڈو,do
بھوت,bhot
مکان,makan
ساس,saas
هوپ,hope
جعفری,jafri
جویریہ,jaweria
مومی,momigulzindagi
رسوا,ruswa
دنوں,dino
کروانا,krwana
رکا,ruka
خریدار,kharidaar
ضعیف,zaeef
مقابلے,muqably
اثر,asar
انجواے,enjoy
تبھی,tabhi
بوند,boond
جیسوں,jaiso
گستاخ,gustaakh
وش,wish
سوہنی,sohni
پان,pan
نيچے,nechay
نشین,nasheen
مارو,maro
گلا,gila
بيسٹ,best
زمین,zameen
پهلا,phela
نيا,naya
میرے,mere
جور,jor
دینے,dene
داد,daad
شفیق,shafiqahmad
کنگ,king
شاخوں,shakhoon
نشاں,nshan
زات,zaat
جوان,jawan
تباہ,tabah
لپٹی,lipti
موجوں,mauj0on
ضروری,zaroori
تعمير,tameer
ددے,dude
کہوں,kahon
سکي,sky
چين,hychain
ياحيا,yahya
تجارت,tijarat
اشاميڈ,ashamed
٨,8
مونيي,money
اجاڑ,ujar
سٹون,ston
بهے,b
اجڑے,ujre
نوسي,noise
بچوں,bachon
دیاہے,dia
درد,dard
سف,sfjan2
سہتا,sehta
سنا,suna
کیے,ky
کونٹراري,contrary
چیرمین,chairman
لاؤ,lao
يمار,umar
نہانے,nahi
دار,der
دوسرے,dosry
گفتگو,guftugo
ظہبی,zahbi
ابی,abi
ماد,maad
اجر,ajar
صورتحال,soratehal
سالے,saly
بتاتی,btati
کريں,kren
دیتے,dete
پہلے,pehle
تھوڑا,thora
برے,burey
شاید,shayad
بلوک,block11
لینی,leni
ت,t
افواہ,afwa
مے,me
سلو,slow
آجاؤ,ajao
تہارے,tahare
بولوں,bolo
٠,0
حافظ,hafiz
يس,us
بندے,bande
ظلم,zulm
تعریفیں,tarefen
پہچانتے,pehchantay
نزدیک,nazdeek
بلوچ,baloch
وقار,waqar
بیگم,begum
مٹا,mita
شازیہ,shazia
فقیروں,faqiron
موقع,moqa
مانتا,manta
بجے,bje
اصل,asal
ٹورس,tauras
ارشاد,arshad
ٹھکراتے,thukrate
بہروز,behroz
ہوگی,hogi
پڑنا,prna
سيد,syed
مچھ,much
بويفرينڈ,boyfriend
سو,so
مفہوم,mafhoom
بریک,breakup
گود,godh
هي,hykabi
ٹارگٹ,target
کراذي,crazy
فول,fool
خبری,khabrii
سنانا,sunana
آہو,aaho
محتاج,mohtaj
اللہ,allah
دور,door
حير,hear
انٹريسٹ,interest
ریفرنس,refrence
عبدل,abdul
کروائی,krwai
شکوے,shikway
ترمیم,tarmeem
١٨,18
جگنو,jugno
نسلیں,naslain
آسا,aasan
جکا,juka
میری,meri
فیملی,femly
سنہری,sunehri
اتا,ata
مہراب,mehrabpur
چوما,chuma
اچھا,acha
واپس,wapis
ہونی,honey
الٹا,ulta
لالہ,lala
بسانا,basana
زین,zain
هیر,here
سپیڈ,speed
کبوتر,kabotar
لیتا,leta
5,5
انشاء,insha
پھیلانا,phelana
مو,mobile
رحم,rahm
آسیب,aasaib
انٹرسٹد,interested
باتيں,baatein
کن,kn
فقروں,faqiron
گھس,ghus
وہاں,wahan
غافل,ghafil
کراؤ,karao
کہتی,kahti
لالی,lali
سوگ,sog
ٹھیک,thek
حیدرآباد,hyd
نوس,news
ٹييسڈے,tuesday
انڈا,anda
الونرائیڈر,alone
پانی,pani
آنس,ans
قوین,queen
کھلی,kholi
تھرسٹ,thirst
لوڈ,load
پہنانا,pehnana
نوٹ,not
مشتاق,mushtaq
تصوير,tasweer
رنگوں,rangon
عبدللہ,abdullah
پنج,panjtani
انسان,insan
برف,barf
الجھنوں,uljhano
تسلیم,tasleem
فصیح,faseeh
بخشی,bakhshi
وبٹين,obtain
بتاوں,btaon
بیچنے,bechny
فونز,funz
کي,keke
فون,ufone
غرور,ghuroor
ہستیاں,hastiyan
تیار,tayar
ہارنے,harnay
تمھارے,tmhary
ملتان,multan
کھلتے,khiltay
کھو,kho
بنتا,banta
جیسا,jaisa
حواس,hawas
سونگ,song
فرمان,farman
هاے,hi
ارض,arz
گول,gol
طبعیت,tbiyt
اسکو,usko
بہاروں,bahaaron
باربی,barbie
دوٹ,idot
دوسرا,doosra
قصور,kasor
ڈھونڈا,dhoonda
ہیٹ,het
آٹا,atawo
دکھانے,dikhane
ماضی,maazi
چوڑیاں,chore
چانس,chance
رکھنا,rakhna
ٹين,ten
عیدین,aridian
ورٹھ,worthless
تم,tm
کھلتا,khilta
راذا,raza
انداز,andaz
سمرتی,smarty
لمبی,lambi
رضوان,rizwan
لگی,lagi
نینی,niny
پشتون,pashtoonpa
سایہ,saya
اکسيپٹانس,acceptance
بريسٹ,breast
خوبی,khoobi
گاؤں,gaoon
لگاؤ,lagao
دے,de
مسالے,msaly
مزاق,mazak
بهای,bhai
گي,ge
حیرت,hyrat
وادے,wade
ادھار,udhar
بکھری,bikhri
میٹرو,mitro
کبھی,kabhi
جوتے,jotey
گاڑی,gari
روشنی,roshni
يسياللي,usually
بارش,barish
کوکو,koko
ٹشرٹ,t-shirt
شاباش,shabash
پیاری,pyari
رومانٹک,romantic
پحيسکال,physical
حانڈ,hand
کردو,krdo
شیشے,sheeshay
سيراوس,serious
اد,add
اللاہ,allah
التجا,iltija
پينسل,pencil
سیس,sis
الفاظ,alfaz
تمی,time
ٹھہر,thehre
ڈیٹیل,details
پروانہ,prwana
ماس,mass
نبھا,nibha
خشبو,khushbo
دلاسا,dilasa
سیل,cel
جھوٹ,jhoot
کویٹا,quetta
دماغ,dmagh
چھور,chhor
مخلص,mukhlis
سوے,soe
ٹایم,time
دگنا,dugna
جانتا,janta
حسین,hussain
هوی,hui
سرخ,surkh
انگلش,english
یقین,yaqeen
س,s
پرت,prat
سوپر,super
تھکا,thaka
گلاس,glass
اتار,utar
انہوں,unhon
ساتھ,sath
زمبابوے,zimb
جاری,jari
زرد,zard
ضرور,zarur
صوبے,sube
ابانڈانس,abundance
است,asit
ڈانس,dance
دھماکہ,dhamakha
لکھوں,likhun
پاشا,pasha
خدا,khuda
آدم,adam
بٹھورو,bathoro
نشے,nashe
ترت,trat
قسمیں,qasmein
دیدار,didaar
پویٹری,poetry
نامہ,nama
اطاعت,itaa'at
لاگ,lag
علمی,almi
ستایا,sataya
آف,of
شعبان,shabnam
طوفان,tufaan
نوکر,naukar
شور,shor
ٹهندر,thunder
مافیا,mafia
ڈريس,dress
کچ,kuch
ڈھلتی,dhalti
لگیں,lagain
خاموش,khamosh
انهیں,inhain
بیان,bayan
وني,one
جامی,jami
کوک,quick
چل,chal
سامسنگ,samsung
قادری,qaadri
طالبان,taliban
کنڈی,kundi
ريسي,raise
اشک,ashk
کاٹو,kato
پڑی,pari
معني,manee
گالیاں,galian
ج,jaan
طرفدار,tarafdar
واقعی,waqai
سکی,saki
پروبليم,problem
فوار,four
حوصلے,hosly
سکے,sake
بسر,basr
اذان,azaan
جینے,jeene
کوم,com
کھلا,khila
سویٹ,sweet
اکثر,aksar
زارا,zara
پانے,pane
پھینکتے,phenkte
چوپال,chopaal
ٹوينٹي,twenty
بجا,bja
غاصب,ghasib
اٹ,it
زون,czone
دوا,dua
تلاوت,talawt
نیہ,ne
ليگل,legal
سات,saat
ساڈ,sad
ورلڈ,world
سمجھتی,samajhti
آڑ,aar
بھرا,bhara
مرنا,mrna
سٹوڈنٹس,students
روف,roof
میم,mem
اپرل,april
هیں,hain
بکھرا,bikhra
پیام,peyam
کنڈنيس,kindness
یهاں,yaha
والو,walo
ھی,hi
سندھی,sindhi
آنکھیں,ankhain
بهر,bhar
روٹي,roti
بدنام,badnam
حيلپ,help
ييللو,yellow
انہیں,unhen
میٹنگ,meetingpoint
مک,mk
سگن,sign
يکيال,equal
طوطے,totay
دونو,dono
نگاہوں,nigahon
ٹرک,truck
مان,maan
ریکویسٹ,request
اماذنگ,amazing
نيپال,nepal
ٹوموررو,tomorrow
جو,jo
فورم,form
پنڈی,pendi
احترام,ehataram
اکرام,ikram
لایوو,live
جاگتا,jagta
18,18
آسمان,asman
ہورہا,horaha
زویا,zoya
کیسا,kesa
ہادی,hadi
جھل,jhal
کھانا,khana
بور,bor
لوٹ,lot
حيرٹ,heart
بدولت,badulatwarna
پہچان,pehchaan
اتر,utar
پڑھ,parh
نصیب,naseeb
شیٹ,sheet
سٹانڈارڈ,standard
ہماری,hamari
اچار,achar
مسٹری,mystery
هوتی,hoti
اپکا,apka
کار,car
ڈرنک,drink
٣٠,30
جلیں,jalen
شاہ,shah
بانڈ,bandh
امر,umar
گيارانٹر,guarantor
راتیں,raatain
بھرپور,bahrpoor
رکھی,rakhi
پلکیں,palkain
ریاض,riazs
روتھ,roth
موجودہ,mojooda
کرا,kara
انار,anarkali
ساٹھ,saath
ريٹيرن,return
ظرف,zarfk
بولے,bolay
اوج,arooj
ماضي,mazee
سایا,sayanafrat
ولی,waliullah
توقیر,toqeer
ميحامماڈ,muhammad
بلوا,bulwaon
خلوت,khalwat
چند,chand
لالے,laale
بہی,b
سپنا,sapna
اطمینان,itminan
جاؤ,jao
شب,shab
اررے,array
نیک,nick
کمالیہ,kamalia
رینی,rainy
جھولے,jhooly
شیوا,shewa
انس,ans
ديکھ,dekh
ثبوت,sabot
لاریب,lareb63
کوٹا,quota
حسان,husan
خان,khan
چلتے,chalte
ضبط,zabt
هوا,hua
شکیل,shakil
دخل,dakhl
اپنا,apna
آییں,aain
سینا,cenashahzadi
آپ,ap
جلد,jaldi
تيسرا,teesra
وبا,oba
انسٹانٹ,instant
راز,raz
ہنسی,hansi
ڈارلنگ,darling
رکھتا,rakhta
اینا,aeyna1
ہرا,hera
ڈھل,dhal
جھکا,jhuka
آو,ao
احمد,ahmed
نانا,nana
انصاف,insaf
سانول,sanwal
خوشبو,khushbo
دروازا,darwaza
نشتر,nishter
جانب,janib'e'manzil
مغز,maghz
آے,ae
اسلامیان,islamianstars
اکبر,akbar
کاٹوں,kanto
مورننگ,morning
کھولے,chole
نيڈ,need
دھماکا,dhamaka
٢٤,24
همنشیں,hm
اندازہ,andaza
رين,rain
لا,la
پاوں,pao
ڈالا,dala
خالی,khali
بندگی,bandgi
بندوں,bndon
حوار,hour
وعلیکم,w
آسان,aasan
بہل,behl
ايگيسٹ,august
پکا,paka
ڈيسيمبير,december
آؤ,ao
میٹھا,metha
قرآن,quran
مزدوری,mazduri
کھویا,khoya
شی,shi
الجھ,ulajh
هنی,honey
نومن,noman
سستی,sasti
دانیال,danial
کھلونا,khilona
اسامہ,usama
انکا,unka
کيلڈ,could
کام,kam
ڈاریکٹ,direct
مانگ,maang
افق,ufaq
گناہ,gunah
الٹی,ulti
نے,ne
شم,sham
لانچ,lanch
میرٹ,meri
جنکو,jinko
دانی,dani
فراق,firaq1
ہمیشہ,hamesha
زلفیں,zulfain
پاو,pao
اسپيکٹ,aspect
شرجیل,sharjel
کروڈ,crowd
کروگے,kro
جانباز,janbaz32
دیکھتا,dekhta
سویا,soya
پھیر,pher
نمازوں,nimazo
دوں,doon
واسطے,wastay
دود,dod
راؤ,rao
فیری,fairy
پؤیٹری,poetry
ترمزی,tirmizi
کھلاتے,khilate
وفٹين,often
بچا,bacha
لوسي,loose
ملا,mila
یارو,yaro
سبحان,subhan
فروم,from
کے,k
سٹوڈنٹ,student
معروف,masroof
ٹارزن,tarzan
هوبی,hobby
اتاری,attari
لمحے,lamhe
کریٹ,create
کانا,kana
جوتیوں,jotioon
بابو,babu
بھیڑ,bheer
٥,5
بوي,boy
زوہیب,zuhaib
شان,shan
کمی,kami
سمایل,smile
آپکا,apka
واسی,wasi
سلیمان,sulaiman
خاک,khak
جیتے,jeete
لگان,lga
مناسب,munasib
سندھو,sindhu
ہتھیلی,hatheli
ڈالو,dalo
ہوگا,hoga
کتنی,kitni
داغ,dagh
انجوائے,enjoy
سیتا,seet
ڈیپارٹمنٹ,department
بتلا,batla
رواج,rawaj
پالتو,paltu
ثاقب,saqib
دلا,dila
رچ,rechilli
ڈوبی,dubi
کمل,kml3
روانی,rawani
اپنوں,apno
ہمارا,hamara
وابستگی,wabastgi
رکهتا,rakhta
کچہ,kuch
پاؤ,paaon
ڈیپ,deepfriends
ٹيپي,type
وک,ok
هون,hon
کھول,khol
لگتے,lagte
بناتا,banata
فیل,fail
پیٹ,pait
آمنہ,amna
جھانک,jhank
ریسٹ,rest
فاین,fine
میر,meri
اسی,usi
تاریکی,tareeki
تعلق,taluq
نفس,nafs
کہاں,kahan
امی,ami
کسنے,kisne
کرب,krb
تولل,toll
انفرادی,infaradi
روش,rosh
عقیل,aqeel
جھگڑا,jahgra
پيرپوسي,purpose
واک,awake
اتے,ate
چلتا,chulta
کشمش,kishmish
فدا,fida
چاہت,chahat
سوگوار,sogawar
دیکھیں,deikhen
انشاللہ,insha
امِ,um
لیں,len
بادشاہ,badshah
ناچ,naach
موسم,mosam
اے,e
مرحبا,marhaba
چلو,chalo
انوکھا,anokha
سکول,school
وحید,waheed
جان,jan
دوران,doraan
بی,b
برتھڈے,birthday
بدلی,badli
ہجر,hijr
سچے,suche
ڈیر,dear
ہرو,hru
کيوں,keyo
وارد,warid
وے,way
بولبو,bolo
بڑا,bara
سمس,sms
ماموں,mamu
ميمٹاذ,mumtaz
شرلی,shurli
لاسٹ,last
اشارے,isharay
بھیجوں,bhejoon
٣١,31
حيرو,hero
ورڈير,order
یخ,yakh
دنگ,dangr
سویاں,soyen
پہلا,pehla
سهارا,sahara
ڈاکو,daku
کرل,kral
گناہوں,gunahon
رقیسٹ,request
مسلمانوں,musalmano
کاج,kaj
تھک,thak
مما,mama
لفي,life
ھمیں,hamain
اسلامی,islami
دکھو,dekho
امین,ameendil007
ملاح,malahhhhhh
اند,and
جیا,jia
فير,fear
تمیز,tmez
بھن,behn
عرصہ,arsa
سیدھا,seeda
ہاتھی,hathi
کامیابی,kamyabi
شیدائی,shedai
کھلونوں,khilonon
جھگڑے,jhagre
گیا,gya
ا,a
فریاد,faryad
تا,ta
دست,dost
لکین,lekin
راہی,rahi
جہاد,jahad
مومن,momin
بنگلہ,bngla
مارکيٹ,market
ھوتی,hoti
خاص,khas
یت,it
ساگر,sagar
گلوم,gloom
عطا,atta
کرٹ,karta
مارنا,marna
تھو,tho
بلوم,bloom
جانا,jana
جلتے,jalte
چورا,chura
بگاڑا,bagara
کھاتا,khata
بم,bm
کھونا,khona
منصوبه,mansooba
لحاظ,lehaz
پليسير,pleasure
چوٹی,choti
رویا,roya
پلا,pila
تولیہ,tolia
عشاء,ishaa
ڈالے,dalay
انجونے,enjoy
ارگيمنٹ,argument
راہیں,rahen
سنو,suno
سردی,sardi
قرب,qurb
زمیں,zmen
بوڑھا,boorrha
انحابٹڈ,inhabited
وارک,warkatal
ملتی,milti
گناہگار,gunahgar
آرام,aram
گندی,gandi
گھڑی,ghari
بغداد,baghdad
سٹوني,stone
سکھانا,sikhana
نامعلوم,namalom
تپیش,tapish
کوکلي,quickly
الطاف,altaf
موڑ,morr
سورری,sorry
زلفوں,zulfon
همیں,hme
اٹھانے,uthane
گ,g
نکالو,nikalo
عدالت,adalat
موٹی,moti
آسک,ask
گردن,grdin
ڈمپ,dump
جسموں,jismoon
رونے,ronay
جاگتے,jagte
فاحم,fahim
خد,khud
شکایات,shikayat
آنسو,aansu
ہیلپ,help
تقدیریں,taqdeerain
فرحاں,farhan
تتلیاں,titliyan
بوريڈ,bored
سکنا,sakna
خدیجہ,khadija
حامد,hamid
ہونے,hone
کافروں,kafro
